entrez	symbol	chromosome	tstart	tend
9	NAT1	chr8	18076915	18080426
10	NAT2	chr8	18257514	18258383
18	ABAT	chr16	8829597	8875284
23	ABCF1	chr6	30539265	30558475
24	ABCA4	chr1	94461665	94586601
34	ACADM	chr1	76194074	76228445
35	ACADS	chr12	121163689	121177248
37	ACADVL	chr17	7121031	7128413
38	ACAT1	chr11	107992334	108018114
94	ACVRL1	chr12	52306217	52314674
100	ADA	chr20	43248938	43280248
124	ADH1A	chr4	100200585	100208822
125	ADH1B	chr4	100231924	100240043
126	ADH1C	chr4	100260736	100269003
128	ADH5	chr4	99993726	100006367
130	ADH6	chr4	100126081	100137422
131	ADH7	chr4	100336637	100356426
134	ADORA1	chr1	203097970	203135025
135	ADORA2A	chr22	24829373	24837454
136	ADORA2B	chr17	15848563	15878653
146	ADRA1D	chr20	4202173	4229604
148	ADRA1A	chr8	26614064	26722486
150	ADRA2A	chr10	112837755	112839149
151	ADRA2B	chr2	96780548	96781888
152	ADRA2C	chr4	3768334	3769719
153	ADRB1	chr10	115803892	115805322
154	ADRB2	chr5	148206395	148207633
155	ADRB3	chr8	37822782	37823987
164	AP1G1	chr16	71766964	71823382
175	AGA	chr4	178352865	178363529
178	AGL	chr1	100316599	100387204
182	JAG1	chr20	10620149	10654178
183	AGT	chr1	230838890	230846596
185	AGTR1	chr3	148457704	148459899
186	AGTR2	chrX	115303534	115304622
189	AGXT	chr2	241808283	241818235
190	NR0B1	chrX	30322699	30327480
191	AHCY	chr20	32868843	32883395
203	AK1	chr9	130630290	130635727
210	ALAD	chr9	116150583	116155866
211	ALAS1	chr3	52233237	52248193
213	ALB	chr4	74270045	74285356
215	ABCD1	chrX	152990722	153009186
216	ALDH1A1	chr9	75516127	75567916
217	ALDH2	chr12	112204787	112241786
219	ALDH1B1	chr9	38395746	38397296
220	ALDH1A3	chr15	101420113	101454975
221	ALDH3B1	chr11	67782768	67795403
222	ALDH3B2	chr11	67430689	67434165
223	ALDH9A1	chr1	165632290	165667795
224	ALDH3A2	chr17	19552285	19578935
229	ALDOB	chr9	104184094	104193169
240	ALOX5	chr10	45869728	45941132
249	ALPL	chr1	21880575	21904138
268	AMH	chr19	2249332	2251953
270	AMPD1	chr1	115215738	115238191
272	AMPD3	chr11	10483061	10527428
275	AMT	chr3	49454976	49459883
279	AMY2A	chr1	104160063	104168365
302	ANXA2	chr15	60639832	60678286
312	ANXA13	chr8	124693483	124748117
324	APC	chr5	112043415	112179820
326	AIRE	chr21	45705890	45717607
332	BIRC5	chr17	76210398	76219735
333	APLP1	chr19	36359539	36370340
335	APOA1	chr11	116706527	116708103
337	APOA4	chr11	116691586	116693907
338	APOB	chr2	21224605	21266424
344	APOC2	chr19	45451736	45452503
345	APOC3	chr11	116701299	116703597
348	APOE	chr19	45409126	45412504
350	APOH	chr17	64208254	64225497
351	APP	chr21	27253984	27542938
353	APRT	chr16	88876109	88878307
354	KLK3	chr19	51358212	51363380
356	FASLG	chr1	172628342	172635153
359	AQP2	chr12	50344614	50349388
367	AR	chrX	66764989	66943680
383	ARG1	chr6	131894423	131905045
394	ARHGAP5	chr14	32559876	32624151
411	ARSB	chr5	78076223	78281071
412	STS	chrX	7171235	7268299
415	ARSE	chrX	2852876	2877741
435	ASL	chr7	65546790	65557896
443	ASPA	chr17	3379454	3402379
462	SERPINC1	chr1	173873030	173886397
467	ATF3	chr1	212788364	212792894
472	ATM	chr11	108098352	108236232
476	ATP1A1	chr1	116926636	116946599
477	ATP1A2	chr1	160090696	160109776
480	ATP1A4	chr1	160121831	160156159
493	ATP2B4	chr1	203652334	203708979
495	ATP4A	chr19	36041734	36054429
496	ATP4B	chr13	114303692	114312459
509	ATP5F1C	chr10	7830171	7844818
513	ATP5F1D	chr19	1241850	1244433
516	ATP5MC1	chr17	46971734	46973128
517	ATP5MC2	chr12	54059101	54069976
518	ATP5MC3	chr2	176043019	176044906
522	ATP5PF	chr21	27097538	27102111
538	ATP7A	chrX	77227139	77302064
540	ATP7B	chr13	52508895	52585473
546	ATRX	chrX	76763832	76972722
551	AVP	chr20	3063279	3065320
552	AVPR1A	chr12	63541142	63544616
553	AVPR1B	chr1	206224441	206231139
554	AVPR2	chrX	153170985	153172179
593	BCKDHA	chr19	41903733	41930510
594	BCKDHB	chr6	80816411	81053518
596	BCL2	chr18	60795861	60985899
605	BCL7A	chr12	122459998	122497066
623	BDKRB1	chr14	96730020	96731078
624	BDKRB2	chr14	96703445	96707838
634	CEACAM1	chr19	43013264	43032526
641	BLM	chr15	91290623	91358506
642	BLMH	chr17	28576038	28618527
644	BLVRA	chr7	43827503	43846831
645	BLVRB	chr19	40953799	40971595
675	BRCA2	chr13	32890598	32972904
686	BTD	chr3	15643228	15686992
695	BTK	chrX	100604876	100630302
706	TSPO	chr22	43555245	43558994
710	SERPING1	chr11	57367352	57382051
713	C1QB	chr1	22985950	22987876
717	C2	chr6	31868844	31913131
718	C3	chr19	6677896	6720600
722	C4BPA	chr1	207286371	207318059
725	C4BPB	chr1	207262877	207273271
730	C7	chr5	40928682	40981672
731	C8A	chr1	57320575	57383386
732	C8B	chr1	57395080	57431621
733	C8G	chr9	139839773	139841140
753	LDLRAD4	chr18	13438236	13645653
760	CA2	chr8	86377500	86393015
766	CA7	chr16	66878391	66887398
773	CACNA1A	chr19	13318130	13617038
779	CACNA1S	chr1	201008962	201081467
783	CACNB2	chr10	18429666	18828650
784	CACNB3	chr12	49209470	49221679
785	CACNB4	chr2	152695636	152955525
786	CACNG1	chr17	65040777	65052384
788	SLC25A20	chr3	48895146	48936227
797	CALCB	chr11	15096265	15098988
825	CAPN3	chr15	42652004	42703543
833	CARS	chr11	3022347	3076170
846	CASR	chr3	121973037	122004035
861	RUNX1	chr21	36164435	36421196
864	RUNX3	chr1	25228616	25291062
885	CCK	chr3	42299593	42305122
886	CCKAR	chr4	26483263	26491889
889	KRIT1	chr7	91830053	91871449
892	CCNC	chr6	99991434	100010823
908	CCT6A	chr7	56119542	56130775
915	CD3D	chr11	118209880	118213322
916	CD3E	chr11	118175668	118186254
920	CD4	chr12	6909305	6928078
929	CD14	chr5	140011444	140012565
932	MS4A3	chr11	59828634	59837148
947	CD34	chr1	208061086	208084425
948	CD36	chr7	80276057	80303460
959	CD40LG	chrX	135730408	135741571
963	CD53	chr1	111434031	111441814
966	CD59	chr11	33731675	33743991
974	CD79B	chr17	62006589	62009621
